timestamp,app,duration_seconds
2026-03-13T15:30:51.547985,Backend building steps - Claude - Google Chrome,5
2026-03-13T15:30:56.551518,WhatsApp - Google Chrome,5
2026-03-13T15:31:01.553316,WhatsApp - Google Chrome,5
2026-03-13T15:31:06.554988,WhatsApp - Google Chrome,5
2026-03-13T15:31:11.557188,Snipping Tool Overlay,5
2026-03-13T15:31:16.558816,127.0.0.1:5000/api/stress - Google Chrome,5
2026-03-13T15:31:21.560488,WhatsApp - Google Chrome,5
2026-03-13T15:31:26.561533,WhatsApp - Google Chrome,5
2026-03-13T15:31:31.563202,WhatsApp - Google Chrome,5
2026-03-13T15:31:36.564725,WhatsApp - Google Chrome,5
2026-03-13T15:31:41.566475,WhatsApp - Google Chrome,5
2026-03-13T15:31:46.567993,WhatsApp - Google Chrome,5
2026-03-13T15:31:51.569744,WhatsApp - Google Chrome,5
2026-03-13T15:31:56.571444,WhatsApp - Google Chrome,5
2026-03-13T15:32:01.572280,WhatsApp - Google Chrome,5
2026-03-13T15:32:06.574423,training_data.csv - WEAL Hackathon Project - Visual Studio Code,5
